ID,gender,friend1,friend2,selfest1,selfest2,selfest3,lifesat1,lifesat2,lifesat3,friend_m,selfest_m,lifesat_m
1,1,1,1,2,2,2,3,2,2,1,2,2.333333
2,2,3,2,3,3,3,4,3,3,2.5,3,3.333333
3,1,4,4,3,3,4,4,4,4,4,3.333333,4
4,2,4,4,4,4,4,4,2,4,4,4,3.333333
5,1,3,3,4,3,4,4,4,4,3,3.666667,4
6,1,3,3,4,3,3,4,3,4,3,3.333333,3.666667
7,2,4,4,3,3,2,3,1,2,4,2.666667,2
8,1,2,2,4,3,3,3,3,3,2,3.333333,3
9,2,3,4,3,3,3,4,3,4,3.5,3,3.666667
10,1,3,3,3,3,3,4,2,3,3,3,3
11,2,3,3,3,3,3,3,2,3,3,3,2.666667
12,2,4,4,4,4,3,3,2,3,4,3.666667,2.666667
13,2,3,2,2,2,2,2,2,2,2.5,2,2
14,1,3,3,3,3,4,4,4,4,3,3.333333,4
15,1,2,2,2,3,2,3,3,4,2,2.333333,3.333333
16,2,3,3,4,3,4,3,2,3,3,3.666667,2.666667
17,1,3,3,4,4,4,4,3,4,3,4,3.666667
18,1,4,3,4,4,4,4,4,4,3.5,4,4
19,2,3,3,2,2,2,1,1,2,3,2,1.333333
20,2,3,3,3,2,2,3,2,2,3,2.333333,2.333333
21,1,4,4,4,4,4,4,3,4,4,4,3.666667
22,2,3,3,3,3,3,3,2,3,3,3,2.666667
23,2,4,4,4,4,4,3,2,4,4,4,3
24,2,4,4,4,4,4,4,4,4,4,4,4
25,1,4,4,4,3,4,4,2,4,4,3.666667,3.333333
26,2,4,4,4,4,4,4,4,4,4,4,4
27,1,3,4,3,3,3,4,3,4,3.5,3,3.666667
28,1,3,2,4,3,3,4,4,4,2.5,3.333333,4
29,1,4,4,4,4,4,4,4,4,4,4,4
30,2,3,4,3,3,2,3,2,3,3.5,2.666667,2.666667
31,1,4,4,4,4,4,4,4,4,4,4,4
32,2,2,3,2,2,2,3,2,3,2.5,2,2.666667
33,1,4,4,4,4,4,4,4,4,4,4,4
34,2,4,4,4,3,3,3,3,3,4,3.333333,3
35,1,4,4,4,4,3,3,3,3,4,3.666667,3
36,2,3,3,3,3,3,3,2,3,3,3,2.666667
37,1,3,3,4,3,3,2,2,3,3,3.333333,2.333333
38,1,3,4,3,3,3,3,3,2,3.5,3,2.666667
39,1,3,2,3,3,3,3,3,3,2.5,3,3
40,1,3,3,2,2,3,3,3,3,3,2.333333,3
41,2,3,1,3,3,3,3,2,3,2,3,2.666667
42,2,3,2,2,2,2,2,2,2,2.5,2,2
43,1,4,4,4,3,4,4,4,4,4,3.666667,4
44,2,3,3,4,3,4,4,4,4,3,3.666667,4
45,1,3,3,3,3,3,3,3,3,3,3,3
46,1,2,3,2,1,2,2,2,2,2.5,1.666667,2
47,1,3,2,2,1,2,3,2,2,2.5,1.666667,2.333333
48,1,4,4,4,3,4,4,4,4,4,3.666667,4
49,1,4,4,4,4,4,4,2,4,4,4,3.333333
50,1,2,1,3,2,3,3,2,3,1.5,2.666667,2.666667
51,2,3,2,3,3,3,3,3,3,2.5,3,3
52,1,2,2,2,2,4,3,2,3,2,2.666667,2.666667
53,2,3,3,3,3,3,3,3,3,3,3,3
54,2,4,4,3,3,3,3,3,3,4,3,3
55,1,3,3,3,3,3,4,4,4,3,3,4
