id,pos,neg,estm,cmp
1,3.5,1.8,3.6,2.83333333333333
2,2.4,3.6,2,3.5
3,3,3,2.2,3
4,2.5,3.8,2,3.16666666666667
5,1.5,3.1,2.6,2.83333333333333
6,1.4,3,2,3
7,1.6,4,1,2.5
8,2,2.9,2.8,2.83333333333333
9,3.4,2.4,2.8,1.33333333333333
10,2.5,4.7,1,2.16666666666667
11,2.6,2.2,1,1.16666666666667
12,2.7,3.9,1.2,2.33333333333333
13,3.1,2.4,1.8,1.5
14,1,3.9,2,2
15,2.8,2.9,2.6,3
16,2,3,2.6,2.33333333333333
17,4.1,2.4,3.6,2.83333333333333
18,2.1,3.5,1.8,1.66666666666667
19,2.3,2.5,2,2
20,2.6,2.3,3.8,3.33333333333333
21,1.6,4.2,1.6,2.83333333333333
22,2,3,1,2.83333333333333
23,1.3,3.2,1.4,3
24,4.1,3.5,3,4
25,2.1,2,2.8,2.16666666666667
26,3.1,2.3,3.6,1
27,2,3,2.4,2.16666666666667
28,3.8,2,2.6,3
29,2.4,3.7,1.2,1.66666666666667
30,1,4.3,1,2.33333333333333
31,1.1,4.3,1.4,4
32,1.5,3.6,1.2,2.16666666666667
33,2.2,4.2,1.6,2.83333333333333
34,2.6,3.5,1.6,2.33333333333333
35,2.2,2.7,4,3
36,2.5,3.4,1.8,2.83333333333333
37,1,3.1,1.8,1
38,2.3,3.3,2.6,2.66666666666667
39,1.4,3.8,1.8,2.33333333333333
40,1.9,2.8,2,3.16666666666667
41,2.7,2.3,2.6,2
42,2.8,2,3.4,3.66666666666667
43,2.7,2.2,3.6,3.16666666666667
44,2.3,3.7,1.8,1
45,3.3,2.5,2.4,3.83333333333333
46,1.4,3.6,1.4,3.33333333333333
47,2,3,2.4,4
48,1.5,4.9,1.8,1.16666666666667
49,2.7,2.4,3,2.83333333333333
50,3.1,4.1,2,2
51,2.6,3.2,2.4,3.16666666666667
52,1.9,3.2,1.2,2.83333333333333
53,2.2,3.7,1.4,2.33333333333333
54,4.8,2.2,4.4,5
55,3.1,2.5,2,2.33333333333333
56,1.6,3.8,1.6,1.66666666666667
57,3.4,3.1,3,2.33333333333333
58,4,1.8,3.6,1
59,2.2,4.4,1.6,2.66666666666667
60,2.6,2.7,4.2,5
61,2.2,2.9,2.2,3.33333333333333
62,1.2,3.1,2,1
63,1.9,4.6,2.4,3.5
64,1.2,4.4,3,2.33333333333333
65,2.1,3.2,2.2,2.66666666666667
66,3.2,3.6,2.8,2.5
67,1.9,2.9,2.2,3
68,1.8,3.9,1.6,2
69,2.2,4,1.8,2
70,1,3.6,1.2,2
71,2,3.9,1.4,2.16666666666667
72,2.7,3.6,2,2.16666666666667
73,2.1,3.7,2.8,2.5
