ID,peer,activ,adjust,satis
1,1,2,2,2.33333333333333
2,3,4,3,4
3,3.5,3,3,3.66666666666667
4,3,3,3,3
5,3,3,3,2.66666666666667
6,4,3,4,2.66666666666667
7,2.5,2,2,2
8,3,2,2,1.33333333333333
9,3,2,2,2.33333333333333
10,2.5,3,3,4
11,3.5,2,3,2.66666666666667
12,4,4,4,4
13,2.5,2,2,2.66666666666667
14,3,3,2,1.33333333333333
15,3,3,3,2.33333333333333
16,2.5,3,3,3
17,2.5,2,1,2
18,2,3,2,2
19,1.5,2,2,2
20,3.5,3,2,2.66666666666667
21,3,2,2,2.33333333333333
22,3,3,3,3
23,3,3,2,2.33333333333333
24,3,3,3,3
25,3,3,2,2
26,3,3,2,2.66666666666667
27,3.5,3,3,2.66666666666667
28,3.5,3,3,3.66666666666667
29,4,3,3,4
30,2,4,4,3.33333333333333
31,3.5,3,3,2.66666666666667
32,4,4,4,4
33,3,3,2,2.66666666666667
34,3,2,2,2.66666666666667
35,3,2,2,2
36,4,4,4,4
37,3,3,2,2.66666666666667
38,3.5,3,2,2
39,3,4,3,3.66666666666667
40,3,3,3,3
41,2.5,1,1,2
42,2.5,3,3,4
43,1.5,4,3,2.66666666666667
44,2.5,2,2,1.33333333333333
45,3.5,3,2,3
46,3.5,4,3,4
47,4,4,4,3
48,2.5,2,2,3
49,3,3,2,2.66666666666667
50,4,4,3,3.66666666666667
51,2.5,4,2,2.33333333333333
52,3,3,3,2.66666666666667
53,4,4,2,3.66666666666667
54,4,4,3,4
55,3,3,3,2.66666666666667
56,4,4,3,4
57,3,2,2,2.33333333333333
58,4,4,4,4
59,3,3,3,3
60,2.5,3,3,2.66666666666667
61,3,3,2,3
62,2.5,1,2,1.66666666666667
63,3,4,3,3.66666666666667
64,4,2,2,2.66666666666667
65,3,3,3,4
66,2.5,4,4,3.33333333333333
67,4,3,3,3
68,3.5,3,3,3.66666666666667
69,3,3,3,3
70,2.5,3,2,2.33333333333333
71,3.5,2,2,1.33333333333333
72,2.5,2,3,3.33333333333333
73,3.5,3,2,3
74,1.5,2,2,2.33333333333333
75,3,4,3,4
76,3.5,4,3,3.33333333333333
77,2,3,3,2.33333333333333
78,4,3,3,3.33333333333333
79,2.5,3,3,2.66666666666667
80,3,3,2,2
81,4,4,3,3
82,3.5,3,2,2
83,3.5,3,2,3.33333333333333
84,2,3,3,2.66666666666667
85,3,3,3,2.66666666666667
86,4,3,2,3
87,4,2,2,3.33333333333333
88,3,1,1,1.33333333333333
89,3,3,2,3
90,3.5,2,2,2
91,3,3,2,2.33333333333333
92,3,3,3,3
93,3,2,3,2.66666666666667
94,4,4,4,4
95,3,3,3,3.33333333333333
96,3,4,3,3.66666666666667
97,4,3,3,2.33333333333333
98,3,2,3,2.33333333333333
99,3,4,3,2.66666666666667
100,4,3,2,3.66666666666667
101,1,2,2,1
102,3,3,3,3.33333333333333
103,3,3,3,2.66666666666667
104,4,4,3,3.66666666666667
105,3,3,2,3
106,4,3,3,3
107,2,2,3,2.66666666666667
108,3,4,3,2.66666666666667
109,3.5,2,4,3
110,2,3,2,2
111,3,4,2,3
112,3.5,3,3,3.33333333333333
113,4,3,3,3.33333333333333
114,3,2,3,2.66666666666667
115,3,3,3,3.66666666666667
116,2.5,3,3,3.33333333333333
117,3,3,3,2.66666666666667
118,3.5,3,3,4
119,3,3,2,4
120,4,3,3,3
121,2,3,3,2.33333333333333
122,3,3,3,3
123,2.5,2,2,2
124,3,3,2,3
125,2.5,3,3,2.33333333333333
126,2.5,4,3,3.33333333333333
127,3,3,3,2.66666666666667
128,2.5,3,3,3
129,2.5,3,3,2.66666666666667
130,2.5,3,2,2.33333333333333
